event_time,income,utilization,late_payments_12m,loan_amount,defaulted,period
2025-06-14,61787.33,0.784,1,25778.71,0,post_policy
2025-06-15,27032.87,0.401,1,22953.13,0,post_policy
2025-06-16,48842.65,0.344,2,19270.98,0,post_policy
2025-06-17,38705.6,0.567,3,19375.15,1,post_policy
2025-06-18,49691.56,0.323,2,19782.34,0,post_policy
2025-06-19,31513.71,0.504,1,13465.04,0,post_policy
2025-06-20,46969.7,0.623,5,10177.76,0,post_policy
2025-06-21,62306.77,0.555,5,22936.56,0,post_policy
2025-06-22,40241.01,0.594,5,23876.81,0,post_policy
2025-06-23,32892.93,0.736,1,15023.5,0,post_policy
2025-06-24,35062.88,0.435,0,13457.26,0,post_policy
2025-06-25,17463.91,0.738,2,16107.88,1,post_policy
2025-06-26,43584.25,0.138,2,20816.71,0,post_policy
2025-06-27,53007.91,0.566,1,22403.59,0,post_policy
2025-06-28,43106.16,0.304,2,26652.4,0,post_policy
2025-07-01,56059.68,0.643,3,16412.19,0,post_policy
2025-07-02,32876.62,0.902,2,21929.11,0,post_policy
2025-07-03,37004.29,0.397,2,27688.63,0,post_policy
2025-07-04,34278.82,0.463,3,21258.6,0,post_policy
2025-07-05,34326.3,0.364,5,16442.67,1,post_policy
2025-07-06,44272.27,0.539,3,16639.35,0,post_policy
2025-07-07,33490.74,0.287,4,26305.49,1,post_policy
2025-07-08,48468.62,0.331,3,11470.13,0,post_policy
2025-07-09,51580.87,0.571,3,26889.41,1,post_policy
2025-07-10,48552.29,0.746,1,24557.51,1,post_policy
2025-07-11,47488.12,0.528,3,35430.38,1,post_policy
2025-07-12,36341.75,0.702,5,19455.84,0,post_policy
2025-07-13,56922.38,0.988,3,26719.85,0,post_policy
2025-07-14,35101.5,0.785,4,20751.65,1,post_policy
2025-07-15,36279.68,0.586,4,27028.96,0,post_policy
2025-07-16,49981.07,0.44,3,32388.97,0,post_policy
2025-07-17,48033.77,0.495,3,28747.96,0,post_policy
2025-07-18,48641.22,0.431,4,19056.41,1,post_policy
2025-07-19,31703.89,0.787,0,18797.31,0,post_policy
2025-07-20,30142.4,0.781,3,19869.09,1,post_policy
2025-07-21,46763.12,0.572,2,19320.04,0,post_policy
2025-07-22,36985.51,0.484,3,9966.19,0,post_policy
2025-07-23,67279.56,0.399,0,17936.25,0,post_policy
2025-07-24,43427.17,0.651,5,15783.92,0,post_policy
2025-07-25,36092.06,0.574,1,16347.28,0,post_policy
2025-07-26,47833.75,0.541,2,19210.25,0,post_policy
2025-07-27,58851.14,0.476,3,10956.58,0,post_policy
2025-07-28,27526.26,0.518,0,27582.54,0,post_policy
2025-08-01,41284.67,0.57,2,4575.68,0,post_policy
2025-08-02,28668.01,0.669,5,29540.28,1,post_policy
2025-08-03,30729.0,0.416,4,12078.55,0,post_policy
2025-08-04,39900.44,0.447,1,16040.41,0,post_policy
2025-08-05,59612.06,0.393,1,9277.57,0,post_policy
2025-08-06,37903.58,0.475,4,10586.37,0,post_policy
2025-08-07,24645.69,0.508,3,9582.52,0,post_policy
2025-08-08,68772.4,0.454,3,17355.75,0,post_policy
